0    ,age,two_year_recid,c_charge_degree,race            ,sex   ,priors_count,length_of_stay,score
649  ,27 ,0             ,M              ,Other           ,Male  ,3           ,-1            ,1
4408 ,42 ,0             ,F              ,African-American,Male  ,3           ,1             ,1
1907 ,22 ,1             ,F              ,African-American,Male  ,1           ,0             ,1
8728 ,24 ,0             ,M              ,Other           ,Female,0           ,0             ,1
4493 ,32 ,0             ,F              ,African-American,Male  ,9           ,0             ,0
8791 ,29 ,0             ,M              ,Other           ,Female,0           ,-1            ,1
2671 ,29 ,1             ,F              ,African-American,Male  ,7           ,2             ,0
6170 ,29 ,1             ,M              ,African-American,Male  ,8           ,0             ,0
7337 ,30 ,0             ,F              ,Other           ,Male  ,2           ,1             ,1
8650 ,27 ,0             ,F              ,Other           ,Male  ,1           ,0             ,1
6819 ,36 ,1             ,M              ,Other           ,Male  ,2           ,1             ,1
6732 ,20 ,1             ,F              ,Other           ,Male  ,1           ,15            ,0
265  ,28 ,1             ,M              ,African-American,Male  ,6           ,0             ,1
5525 ,34 ,1             ,F              ,Other           ,Male  ,5           ,0             ,1
408  ,22 ,0             ,F              ,Other           ,Female,1           ,0             ,1
4328 ,23 ,1             ,F              ,African-American,Male  ,0           ,2             ,0
3973 ,50 ,1             ,F              ,Other           ,Female,2           ,0             ,1
1545 ,33 ,0             ,F              ,African-American,Male  ,1           ,1             ,1
9093 ,22 ,0             ,F              ,African-American,Male  ,1           ,36            ,0
1345 ,19 ,1             ,M              ,Other           ,Male  ,1           ,0             ,1
8204 ,45 ,0             ,F              ,African-American,Male  ,16          ,1             ,1
8823 ,36 ,1             ,F              ,Other           ,Male  ,26          ,117           ,0
4314 ,28 ,1             ,M              ,African-American,Male  ,14          ,20            ,1
7011 ,51 ,0             ,M              ,African-American,Male  ,8           ,25            ,1
7176 ,35 ,0             ,F              ,Other           ,Male  ,1           ,0             ,1
8090 ,37 ,1             ,F              ,Other           ,Male  ,1           ,-1            ,1
3169 ,53 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
4726 ,58 ,0             ,F              ,Other           ,Female,0           ,1             ,1
5667 ,35 ,1             ,M              ,Other           ,Male  ,5           ,2             ,1
4419 ,20 ,0             ,F              ,Other           ,Female,0           ,0             ,1
7120 ,54 ,1             ,F              ,Other           ,Male  ,2           ,29            ,1
2651 ,59 ,0             ,M              ,African-American,Male  ,4           ,0             ,1
7981 ,37 ,0             ,F              ,Other           ,Male  ,13          ,1             ,1
10523,29 ,1             ,F              ,Other           ,Male  ,4           ,3             ,1
1522 ,23 ,0             ,M              ,African-American,Male  ,2           ,5             ,1
10233,23 ,0             ,F              ,African-American,Male  ,1           ,0             ,1
8065 ,28 ,1             ,M              ,African-American,Male  ,4           ,0             ,1
8909 ,46 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
3925 ,22 ,1             ,F              ,African-American,Male  ,0           ,13            ,1
3511 ,23 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
10947,61 ,1             ,M              ,African-American,Male  ,4           ,2             ,0
9656 ,31 ,1             ,F              ,African-American,Male  ,6           ,0             ,1
306  ,26 ,1             ,F              ,African-American,Male  ,2           ,1             ,0
1548 ,28 ,1             ,F              ,African-American,Male  ,6           ,0             ,0
9588 ,54 ,0             ,F              ,Other           ,Male  ,0           ,2             ,1
2221 ,61 ,1             ,M              ,Other           ,Male  ,3           ,0             ,1
40   ,33 ,1             ,F              ,African-American,Male  ,0           ,37            ,0
7205 ,27 ,1             ,F              ,Other           ,Male  ,0           ,47            ,0
2993 ,20 ,1             ,F              ,Other           ,Male  ,2           ,21            ,0
9934 ,28 ,1             ,F              ,African-American,Male  ,5           ,0             ,1
4316 ,52 ,1             ,F              ,African-American,Male  ,7           ,3             ,0
459  ,32 ,0             ,F              ,African-American,Female,5           ,-1            ,1
1542 ,35 ,1             ,M              ,African-American,Male  ,17          ,2             ,1
2268 ,25 ,0             ,F              ,Other           ,Female,5           ,0             ,1
8941 ,23 ,1             ,F              ,Other           ,Male  ,1           ,19            ,1
2614 ,28 ,0             ,F              ,Other           ,Male  ,6           ,2             ,1
4944 ,21 ,1             ,F              ,African-American,Male  ,0           ,6             ,0
8876 ,29 ,0             ,F              ,African-American,Male  ,7           ,2             ,1
909  ,20 ,0             ,F              ,African-American,Male  ,1           ,0             ,1
5347 ,42 ,0             ,F              ,African-American,Male  ,5           ,2             ,1
10004,27 ,0             ,M              ,African-American,Male  ,5           ,0             ,1
6164 ,37 ,0             ,F              ,African-American,Female,1           ,8             ,1
527  ,69 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
10439,21 ,0             ,F              ,African-American,Male  ,0           ,13            ,1
2099 ,33 ,0             ,F              ,African-American,Female,1           ,0             ,1
2641 ,31 ,0             ,M              ,Other           ,Male  ,0           ,1             ,1
3660 ,46 ,0             ,F              ,Other           ,Male  ,2           ,1             ,1
9707 ,36 ,1             ,F              ,Other           ,Female,6           ,0             ,1
6571 ,51 ,1             ,F              ,African-American,Male  ,12          ,0             ,0
4045 ,45 ,1             ,F              ,Other           ,Female,1           ,1             ,1
5657 ,32 ,1             ,F              ,African-American,Male  ,7           ,37            ,0
446  ,21 ,0             ,M              ,African-American,Female,0           ,0             ,1
9651 ,41 ,0             ,F              ,Other           ,Male  ,3           ,1             ,1
1274 ,43 ,0             ,F              ,Other           ,Male  ,3           ,1             ,1
617  ,60 ,0             ,F              ,Other           ,Male  ,4           ,1             ,1
8468 ,35 ,0             ,F              ,African-American,Male  ,0           ,0             ,1
3020 ,46 ,0             ,F              ,African-American,Male  ,2           ,0             ,0
9492 ,38 ,0             ,M              ,African-American,Male  ,7           ,197           ,1
8053 ,21 ,1             ,F              ,African-American,Male  ,2           ,28            ,1
8748 ,65 ,1             ,F              ,Other           ,Male  ,1           ,0             ,1
3246 ,30 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
9835 ,53 ,0             ,F              ,African-American,Female,3           ,2             ,1
6467 ,34 ,0             ,F              ,African-American,Male  ,12          ,34            ,1
7636 ,38 ,0             ,M              ,African-American,Female,0           ,1             ,1
7994 ,37 ,1             ,F              ,Other           ,Male  ,8           ,0             ,1
5727 ,40 ,0             ,F              ,African-American,Male  ,21          ,29            ,1
9005 ,28 ,0             ,M              ,Other           ,Female,1           ,0             ,1
6798 ,23 ,0             ,F              ,Other           ,Male  ,3           ,9             ,1
2420 ,28 ,1             ,M              ,Other           ,Male  ,0           ,2             ,1
264  ,31 ,1             ,F              ,Other           ,Male  ,8           ,117           ,0
93   ,22 ,1             ,F              ,African-American,Male  ,1           ,1             ,1
8600 ,30 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
8622 ,26 ,1             ,F              ,African-American,Male  ,1           ,4             ,0
10655,42 ,0             ,F              ,Other           ,Female,0           ,281           ,1
889  ,23 ,0             ,M              ,Other           ,Male  ,1           ,9             ,1
8328 ,26 ,1             ,M              ,Other           ,Male  ,10          ,0             ,0
10608,25 ,1             ,M              ,Other           ,Male  ,0           ,21            ,1
6035 ,47 ,0             ,M              ,Other           ,Male  ,1           ,1             ,1
1625 ,21 ,1             ,F              ,African-American,Male  ,0           ,1             ,0
1399 ,29 ,0             ,F              ,Other           ,Male  ,2           ,1             ,1
3492 ,23 ,0             ,F              ,African-American,Male  ,3           ,1             ,1
5048 ,26 ,1             ,F              ,African-American,Female,5           ,33            ,1
7638 ,34 ,1             ,M              ,Other           ,Male  ,2           ,1             ,1
2482 ,30 ,0             ,M              ,African-American,Male  ,0           ,0             ,1
4296 ,37 ,0             ,F              ,Other           ,Male  ,5           ,1             ,1
10235,22 ,0             ,F              ,African-American,Male  ,1           ,4             ,0
494  ,21 ,0             ,F              ,Other           ,Male  ,3           ,22            ,1
8314 ,26 ,0             ,F              ,African-American,Male  ,4           ,0             ,0
1436 ,22 ,1             ,F              ,African-American,Male  ,6           ,2             ,1
5193 ,36 ,1             ,F              ,African-American,Female,5           ,0             ,1
3205 ,49 ,0             ,M              ,Other           ,Male  ,2           ,1             ,1
2291 ,72 ,0             ,M              ,Other           ,Male  ,1           ,1             ,1
4406 ,21 ,0             ,F              ,Other           ,Male  ,0           ,7             ,0
622  ,39 ,0             ,M              ,Other           ,Female,0           ,0             ,1
1658 ,54 ,0             ,M              ,Other           ,Female,0           ,0             ,1
10956,61 ,0             ,M              ,Other           ,Female,1           ,-1            ,1
2643 ,32 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
16   ,37 ,0             ,M              ,Other           ,Female,0           ,0             ,1
584  ,35 ,0             ,F              ,African-American,Male  ,2           ,5             ,1
4070 ,37 ,0             ,M              ,African-American,Male  ,2           ,0             ,1
6639 ,51 ,0             ,F              ,African-American,Male  ,3           ,0             ,1
7547 ,48 ,0             ,F              ,Other           ,Female,0           ,1             ,1
1999 ,44 ,0             ,M              ,African-American,Male  ,0           ,0             ,1
8674 ,32 ,0             ,M              ,African-American,Male  ,0           ,0             ,1
10427,56 ,0             ,F              ,Other           ,Male  ,1           ,35            ,1
5171 ,33 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
6924 ,23 ,1             ,F              ,African-American,Male  ,2           ,6             ,0
3554 ,67 ,0             ,F              ,Other           ,Male  ,3           ,1             ,1
4959 ,56 ,1             ,M              ,Other           ,Male  ,10          ,13            ,1
80   ,24 ,1             ,F              ,African-American,Male  ,2           ,1             ,1
6466 ,53 ,0             ,M              ,Other           ,Male  ,0           ,-1            ,1
6642 ,35 ,0             ,F              ,Other           ,Male  ,2           ,1             ,1
4337 ,41 ,0             ,F              ,Other           ,Male  ,0           ,1             ,1
2344 ,24 ,1             ,M              ,African-American,Female,2           ,14            ,1
3214 ,30 ,1             ,M              ,Other           ,Female,3           ,1             ,1
5332 ,39 ,0             ,F              ,Other           ,Male  ,5           ,18            ,1
2410 ,33 ,0             ,M              ,Other           ,Female,2           ,2             ,1
2923 ,36 ,0             ,M              ,Other           ,Male  ,0           ,-1            ,1
4765 ,45 ,0             ,F              ,Other           ,Male  ,3           ,1             ,1
4377 ,23 ,1             ,F              ,African-American,Male  ,3           ,91            ,0
6943 ,24 ,1             ,F              ,African-American,Female,4           ,2             ,1
5681 ,31 ,1             ,F              ,African-American,Male  ,4           ,24            ,0
1101 ,37 ,0             ,F              ,Other           ,Female,1           ,1             ,1
2862 ,26 ,1             ,F              ,African-American,Male  ,1           ,0             ,1
7411 ,30 ,0             ,M              ,African-American,Male  ,5           ,1             ,0
7815 ,42 ,1             ,M              ,Other           ,Female,4           ,0             ,1
4994 ,26 ,1             ,F              ,Other           ,Male  ,1           ,8             ,1
1410 ,27 ,0             ,F              ,African-American,Male  ,1           ,3             ,1
8820 ,24 ,1             ,M              ,African-American,Male  ,2           ,24            ,0
9221 ,22 ,1             ,F              ,Other           ,Male  ,3           ,2             ,1
2247 ,31 ,1             ,F              ,African-American,Male  ,6           ,31            ,0
8216 ,27 ,0             ,M              ,African-American,Male  ,3           ,37            ,1
228  ,33 ,1             ,F              ,African-American,Female,7           ,26            ,0
3989 ,96 ,1             ,F              ,Other           ,Male  ,2           ,0             ,1
19   ,47 ,1             ,F              ,Other           ,Female,1           ,14            ,1
660  ,36 ,0             ,M              ,Other           ,Male  ,2           ,0             ,1
1490 ,30 ,1             ,M              ,African-American,Male  ,4           ,1             ,1
2844 ,20 ,1             ,F              ,Other           ,Male  ,3           ,42            ,0
3789 ,29 ,0             ,F              ,Other           ,Male  ,0           ,1             ,1
1213 ,36 ,0             ,M              ,African-American,Female,1           ,0             ,1
8207 ,31 ,1             ,M              ,Other           ,Male  ,3           ,1             ,1
8777 ,21 ,0             ,F              ,Other           ,Male  ,1           ,11            ,1
1689 ,54 ,1             ,M              ,Other           ,Male  ,3           ,2             ,1
7420 ,29 ,1             ,F              ,Other           ,Male  ,0           ,1             ,1
9285 ,47 ,0             ,F              ,African-American,Male  ,3           ,1             ,1
6885 ,28 ,1             ,M              ,Other           ,Female,0           ,0             ,1
2110 ,22 ,0             ,F              ,African-American,Male  ,3           ,0             ,0
786  ,48 ,0             ,M              ,Other           ,Female,0           ,0             ,1
2976 ,31 ,0             ,M              ,African-American,Male  ,5           ,0             ,1
6882 ,29 ,1             ,F              ,African-American,Male  ,17          ,1             ,0
3285 ,46 ,1             ,F              ,African-American,Male  ,5           ,2             ,1
3200 ,35 ,1             ,F              ,African-American,Male  ,1           ,1             ,1
3771 ,25 ,1             ,F              ,African-American,Male  ,5           ,155           ,0
4048 ,33 ,1             ,F              ,Other           ,Male  ,3           ,14            ,0
6326 ,23 ,1             ,M              ,Other           ,Male  ,3           ,26            ,0
10589,21 ,1             ,M              ,African-American,Male  ,5           ,1             ,1
1788 ,20 ,1             ,F              ,Other           ,Male  ,2           ,192           ,0
10882,24 ,0             ,F              ,Other           ,Female,1           ,3             ,1
4128 ,20 ,1             ,M              ,African-American,Male  ,0           ,1             ,1
4672 ,48 ,1             ,F              ,Other           ,Male  ,20          ,46            ,0
3383 ,46 ,1             ,F              ,African-American,Male  ,10          ,9             ,1
8236 ,51 ,0             ,M              ,Other           ,Male  ,0           ,-1            ,1
9372 ,21 ,0             ,F              ,African-American,Male  ,2           ,36            ,0
6748 ,23 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
6377 ,27 ,1             ,F              ,Other           ,Male  ,2           ,0             ,1
2321 ,33 ,1             ,M              ,African-American,Male  ,7           ,1             ,1
1700 ,25 ,1             ,M              ,African-American,Male  ,0           ,4             ,1
1292 ,48 ,0             ,F              ,Other           ,Male  ,1           ,0             ,1
548  ,21 ,0             ,F              ,African-American,Male  ,1           ,-1            ,1
6551 ,40 ,0             ,M              ,Other           ,Male  ,1           ,1             ,1
10130,48 ,0             ,F              ,African-American,Female,1           ,0             ,1
5684 ,23 ,0             ,F              ,African-American,Male  ,0           ,1             ,1
1631 ,47 ,1             ,F              ,Other           ,Male  ,1           ,0             ,1
10743,41 ,1             ,F              ,African-American,Male  ,18          ,299           ,1
3614 ,26 ,1             ,F              ,African-American,Male  ,1           ,0             ,0
5043 ,23 ,1             ,F              ,Other           ,Male  ,0           ,18            ,0
2871 ,21 ,1             ,F              ,African-American,Male  ,0           ,0             ,0
10357,36 ,0             ,F              ,Other           ,Male  ,1           ,0             ,1
4817 ,29 ,1             ,M              ,African-American,Male  ,2           ,2             ,1
142  ,25 ,1             ,F              ,Other           ,Male  ,9           ,0             ,0
597  ,27 ,1             ,F              ,African-American,Male  ,12          ,31            ,0
740  ,50 ,1             ,F              ,Other           ,Male  ,5           ,11            ,1
5673 ,32 ,1             ,F              ,African-American,Male  ,10          ,0             ,1
5809 ,45 ,0             ,M              ,African-American,Male  ,20          ,46            ,1
10831,27 ,1             ,M              ,Other           ,Female,0           ,0             ,0
1367 ,33 ,1             ,F              ,African-American,Male  ,0           ,0             ,1
2819 ,24 ,1             ,F              ,African-American,Male  ,0           ,1             ,0
6000 ,23 ,1             ,F              ,African-American,Female,0           ,2             ,1
9416 ,26 ,0             ,F              ,African-American,Male  ,1           ,1             ,1
2673 ,23 ,0             ,F              ,African-American,Male  ,1           ,2             ,1
10836,25 ,1             ,F              ,African-American,Male  ,3           ,1             ,1
9092 ,45 ,1             ,F              ,Other           ,Male  ,1           ,5             ,1
6740 ,36 ,1             ,F              ,African-American,Female,1           ,6             ,1
5545 ,31 ,1             ,F              ,Other           ,Male  ,4           ,29            ,0
1323 ,30 ,0             ,F              ,African-American,Female,4           ,0             ,1
7342 ,41 ,1             ,F              ,Other           ,Male  ,0           ,1             ,1
3021 ,44 ,1             ,F              ,African-American,Female,11          ,15            ,0
8572 ,26 ,0             ,M              ,African-American,Male  ,2           ,2             ,1
7698 ,34 ,1             ,F              ,African-American,Male  ,11          ,0             ,0
7686 ,48 ,0             ,F              ,Other           ,Male  ,1           ,21            ,1
4269 ,30 ,1             ,F              ,African-American,Male  ,12          ,-1            ,0
463  ,44 ,1             ,M              ,Other           ,Male  ,0           ,1             ,1
10307,31 ,0             ,F              ,African-American,Male  ,6           ,25            ,1
572  ,42 ,0             ,F              ,African-American,Male  ,1           ,4             ,1
4240 ,23 ,1             ,F              ,Other           ,Male  ,0           ,0             ,1
10315,44 ,1             ,F              ,African-American,Male  ,0           ,0             ,1
965  ,38 ,0             ,F              ,African-American,Male  ,0           ,1             ,1
2456 ,43 ,0             ,F              ,Other           ,Male  ,9           ,0             ,1
6883 ,54 ,0             ,M              ,Other           ,Female,1           ,4             ,1
6525 ,51 ,1             ,F              ,Other           ,Male  ,1           ,0             ,1
7515 ,23 ,1             ,F              ,African-American,Male  ,1           ,9             ,0
3215 ,52 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
8887 ,27 ,1             ,F              ,Other           ,Female,5           ,1             ,1
9275 ,29 ,0             ,F              ,African-American,Male  ,0           ,72            ,1
1151 ,21 ,1             ,F              ,Other           ,Male  ,1           ,0             ,1
1443 ,45 ,1             ,F              ,African-American,Male  ,0           ,1             ,1
1571 ,46 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
3807 ,31 ,1             ,M              ,Other           ,Female,1           ,10            ,1
1346 ,32 ,0             ,F              ,African-American,Male  ,4           ,108           ,1
6690 ,25 ,1             ,F              ,African-American,Male  ,7           ,20            ,0
7804 ,33 ,1             ,F              ,African-American,Male  ,3           ,11            ,1
2113 ,20 ,1             ,F              ,African-American,Male  ,2           ,2             ,0
9920 ,50 ,1             ,M              ,Other           ,Female,0           ,0             ,1
8061 ,25 ,0             ,F              ,Other           ,Male  ,4           ,1             ,1
1361 ,27 ,1             ,M              ,African-American,Male  ,5           ,0             ,1
4414 ,34 ,0             ,M              ,Other           ,Male  ,0           ,1             ,1
6877 ,35 ,0             ,F              ,African-American,Female,2           ,1             ,1
10176,41 ,1             ,F              ,African-American,Male  ,12          ,0             ,1
5995 ,39 ,0             ,F              ,Other           ,Male  ,6           ,0             ,1
2154 ,21 ,0             ,F              ,Other           ,Male  ,0           ,1             ,1
10934,41 ,0             ,M              ,Other           ,Male  ,0           ,0             ,1
7044 ,25 ,0             ,F              ,African-American,Male  ,1           ,0             ,1
8129 ,27 ,1             ,F              ,African-American,Male  ,5           ,0             ,0
9047 ,32 ,0             ,M              ,Other           ,Female,0           ,10            ,1
9282 ,22 ,0             ,F              ,African-American,Female,0           ,-1            ,1
10312,31 ,1             ,M              ,African-American,Female,3           ,0             ,1
7111 ,47 ,1             ,M              ,Other           ,Male  ,3           ,12            ,1
7721 ,23 ,1             ,F              ,African-American,Female,0           ,1             ,1
3292 ,38 ,0             ,F              ,Other           ,Male  ,3           ,0             ,1
166  ,21 ,1             ,F              ,African-American,Male  ,3           ,6             ,0
6502 ,27 ,1             ,M              ,African-American,Male  ,8           ,0             ,1
7123 ,27 ,1             ,M              ,African-American,Male  ,0           ,1             ,1
6399 ,35 ,0             ,F              ,Other           ,Male  ,5           ,0             ,1
8992 ,33 ,1             ,F              ,Other           ,Male  ,9           ,49            ,0
10594,32 ,0             ,F              ,Other           ,Female,1           ,0             ,1
9419 ,45 ,1             ,F              ,African-American,Male  ,0           ,0             ,1
1217 ,36 ,1             ,F              ,African-American,Male  ,3           ,1             ,1
6296 ,31 ,1             ,M              ,African-American,Male  ,1           ,0             ,1
4951 ,51 ,0             ,M              ,Other           ,Female,2           ,0             ,1
4026 ,40 ,1             ,F              ,Other           ,Female,7           ,6             ,1
1717 ,35 ,1             ,F              ,African-American,Male  ,5           ,1             ,1
5982 ,25 ,1             ,F              ,African-American,Male  ,0           ,2             ,1
5482 ,30 ,1             ,F              ,Other           ,Male  ,5           ,62            ,1
3744 ,56 ,0             ,M              ,African-American,Male  ,1           ,0             ,1
10976,30 ,1             ,M              ,Other           ,Female,2           ,1             ,1
362  ,28 ,1             ,F              ,African-American,Male  ,25          ,25            ,0
8190 ,27 ,1             ,F              ,Other           ,Male  ,6           ,1             ,1
10429,27 ,1             ,M              ,Other           ,Male  ,2           ,1             ,1
4353 ,33 ,1             ,M              ,Other           ,Male  ,5           ,1             ,1
5984 ,34 ,0             ,M              ,African-American,Male  ,4           ,0             ,1
3642 ,41 ,1             ,F              ,African-American,Male  ,3           ,1             ,1
6766 ,29 ,1             ,F              ,African-American,Male  ,8           ,2             ,0
9433 ,43 ,0             ,M              ,African-American,Female,0           ,1             ,1
298  ,36 ,1             ,M              ,Other           ,Male  ,2           ,2             ,1
2564 ,35 ,1             ,M              ,Other           ,Male  ,3           ,1             ,1
531  ,26 ,1             ,M              ,African-American,Male  ,6           ,3             ,0
1001 ,47 ,0             ,F              ,African-American,Male  ,20          ,1             ,0
7185 ,60 ,0             ,F              ,Other           ,Male  ,0           ,0             ,1
