0,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
34146,51,Non-Private,136060,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
19275,64,Private,102041,7,Married,Other,Husband,White,Male,0,0,40,US,0
16872,36,Private,114988,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
28934,38,Private,63509,11,Married,Other,Husband,White,Male,0,0,50,US,0
23500,31,Private,241885,9,Married,Other,Husband,White,Male,0,0,40,US,0
30849,42,Non-Private,212027,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,US,0
26709,26,Private,219815,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
30910,38,Private,210610,12,Married,Other,Husband,White,Male,0,0,40,US,1
928,22,Private,91842,10,Non-Married,Other,Non-Husband,White,Female,0,0,42,US,0
30865,30,Non-Private,113838,11,Married,Other,Husband,White,Male,3137,0,60,Non-US,0
45937,43,Private,157473,9,Married,Other,Non-Husband,White,Female,0,0,48,US,1
5632,45,Private,189564,14,Married,Other,Non-Husband,White,Female,0,0,1,US,0
25800,54,Non-Private,206964,10,Married,Other,Husband,White,Male,0,1977,40,US,1
1105,34,Non-Private,167999,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,33,US,0
47821,27,Private,181291,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,Non-US,0
47997,23,Non-Private,216889,9,Married,Other,Husband,White,Male,0,1977,40,US,1
38720,33,Non-Private,110171,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,1092,40,US,0
44245,64,Non-Private,21174,9,Married,Other,Husband,White,Male,0,0,20,US,0
58,41,Private,147372,9,Married,Managerial-Specialist,Husband,White,Male,0,0,48,US,0
47786,55,Non-Private,197749,9,Married,Other,Husband,White,Male,0,1573,44,US,0
26888,67,Non-Private,223257,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
28593,50,Non-Private,172970,9,Married,Other,Husband,White,Male,0,0,40,Non-US,0
24327,48,Non-Private,52240,11,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,25,US,1
37723,45,Private,139571,9,Married,Other,Husband,White,Male,0,0,50,US,1
40621,34,Private,127875,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,0
18547,36,Private,199501,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,38,US,0
33652,38,Private,34378,4,Married,Other,Husband,White,Male,0,0,40,US,0
2730,54,Private,96710,9,Married,Other,Non-Husband,Non-White,Female,0,0,20,US,0
18233,45,Private,129387,12,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
4650,31,Private,73514,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
46979,32,Private,46691,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
5024,45,Non-Private,181970,9,Married,Managerial-Specialist,Husband,White,Male,0,1672,40,US,0
6505,37,Private,147638,13,Non-Married,Other,Non-Husband,Non-White,Female,0,0,36,Non-US,0
14065,38,Private,177121,10,Non-Married,Other,Non-Husband,White,Female,0,0,58,US,0
16901,80,Non-Private,101771,7,Married,Managerial-Specialist,Husband,White,Male,0,0,25,US,0
28788,45,Private,184277,11,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,55,US,1
17611,28,Non-Private,104617,4,Non-Married,Other,Non-Husband,White,Female,0,0,99,Non-US,0
21431,39,Private,139703,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,28,Non-US,0
31506,48,Private,238360,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,Non-US,0
11603,35,Private,108907,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
22966,35,Private,201328,9,Married,Other,Husband,White,Male,0,0,50,US,0
32515,66,Non-Private,47358,6,Married,Other,Husband,White,Male,3471,0,40,US,0
36953,64,Private,213391,5,Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
29523,50,Private,123174,16,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,37,US,1
17884,44,Private,146906,15,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
23877,51,Non-Private,195844,10,Married,Other,Husband,White,Male,0,0,40,US,1
3784,49,Private,185859,9,Married,Other,Husband,White,Male,0,0,43,US,0
5137,49,Non-Private,158685,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,2377,40,US,1
25397,80,Non-Private,91901,9,Married,Other,Husband,White,Male,0,0,25,US,0
30201,62,Non-Private,203525,4,Married,Other,Husband,White,Male,2829,0,40,US,0
29790,37,Private,188774,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,2824,40,US,1
36058,26,Non-Private,201579,3,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,14,Non-US,0
10290,54,Private,421561,14,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
19525,47,Private,178341,6,Married,Managerial-Specialist,Husband,White,Male,0,0,46,US,1
19056,42,Non-Private,192397,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,38,US,0
32184,46,Private,118419,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,38,US,0
17393,40,Private,221172,14,Married,Managerial-Specialist,Husband,White,Male,0,0,65,US,1
7372,26,Private,276624,10,Married,Other,Husband,White,Male,0,0,40,US,0
42023,44,Private,99830,10,Married,Other,Husband,White,Male,0,0,65,US,0
41040,28,Private,66414,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
12580,65,Private,170012,13,Married,Managerial-Specialist,Husband,White,Male,0,0,34,US,0
23201,24,Private,132320,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,45,US,0
47536,23,Non-Private,102684,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,60,US,0
19105,40,Private,175696,10,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
6603,40,Private,153372,10,Married,Other,Husband,White,Male,0,0,50,US,1
45316,28,Private,126135,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
29192,52,Private,165681,10,Married,Other,Husband,White,Male,0,0,40,US,1
47239,41,Private,143003,14,Married,Other,Husband,Non-White,Male,0,1887,45,Non-US,1
38480,31,Private,309028,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
32649,24,Non-Private,228724,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
30445,23,Private,236994,9,Non-Married,Other,Non-Husband,White,Male,0,0,60,US,0
2342,23,Non-Private,519627,9,Non-Married,Other,Non-Husband,White,Male,0,0,25,Non-US,0
19663,51,Private,334273,9,Married,Other,Husband,White,Male,0,0,40,US,0
37377,34,Private,49469,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,US,0
43679,39,Non-Private,127048,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
8692,65,Non-Private,149049,9,Married,Other,Husband,White,Male,0,0,40,US,0
45689,48,Non-Private,100818,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,7443,0,45,US,0
45057,74,Private,322789,6,Married,Other,Husband,White,Male,0,1411,40,US,0
3808,51,Non-Private,420917,13,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,0
40201,25,Private,177839,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
12351,22,Private,34616,10,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
42929,39,Private,370032,14,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,0
11140,18,Private,190325,7,Non-Married,Other,Non-Husband,White,Male,0,0,30,US,0
18213,21,Private,154422,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
30152,48,Private,119471,16,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,Non-US,1
18299,26,Private,179569,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
23093,23,Private,165064,10,Married,Other,Husband,White,Male,0,0,40,US,0
29415,42,Private,154076,9,Married,Managerial-Specialist,Husband,White,Male,7688,0,50,US,1
48120,48,Private,86009,11,Married,Other,Husband,White,Male,0,0,40,US,1
14592,19,Private,223648,7,Non-Married,Other,Non-Husband,White,Male,0,0,20,Non-US,0
12162,35,Private,260578,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,1
6783,18,Private,577521,7,Non-Married,Other,Non-Husband,White,Male,0,0,13,US,0
11401,22,Private,88050,12,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,6,US,0
44691,28,Private,352451,4,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
45572,52,Private,262579,9,Married,Other,Husband,White,Male,0,0,45,US,0
7852,41,Private,33310,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
41824,29,Private,273884,9,Non-Married,Other,Non-Husband,White,Male,0,0,30,US,0
38896,35,Private,241126,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,US,0
33153,50,Non-Private,105788,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,6497,0,35,US,0
35773,23,Private,398130,9,Non-Married,Other,Non-Husband,White,Male,0,0,96,US,0
37843,45,Private,135525,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
38453,32,Private,229636,12,Married,Other,Husband,White,Male,5013,0,60,US,0
45634,24,Non-Private,316524,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
16203,47,Private,101684,9,Married,Other,Husband,White,Male,0,0,40,US,0
10724,27,Private,164170,13,Non-Married,Other,Non-Husband,Non-White,Female,0,0,20,Non-US,0
11666,17,Private,47771,7,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,0
37116,55,Private,497039,10,Non-Married,Other,Non-Husband,Non-White,Female,0,0,56,US,0
12419,24,Private,182342,13,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
47950,26,Private,305129,7,Married,Other,Husband,White,Male,0,0,45,US,0
9256,36,Private,312206,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
22385,47,Private,246739,13,Married,Managerial-Specialist,Husband,White,Male,99999,0,55,US,1
40633,63,Non-Private,246124,13,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
44659,33,Private,172714,11,Married,Other,Husband,White,Male,0,0,40,US,0
27967,49,Private,287647,14,Non-Married,Other,Non-Husband,White,Male,4787,0,45,US,1
8786,57,Non-Private,217692,9,Non-Married,Other,Non-Husband,White,Female,0,0,38,US,0
34143,25,Non-Private,193716,10,Married,Other,Husband,White,Male,0,0,50,US,0
23967,46,Private,191389,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,28,US,1
26588,21,Private,177420,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
13721,31,Private,122609,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
16625,59,Private,114678,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,60,US,0
39874,38,Non-Private,177907,9,Married,Other,Husband,White,Male,0,0,40,US,0
27973,50,Private,548361,13,Married,Other,Husband,White,Male,0,0,20,US,1
10743,28,Private,119793,9,Non-Married,Other,Non-Husband,White,Male,0,0,60,US,0
41780,49,Private,315437,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
21971,32,Private,317219,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,1590,40,US,0
8128,57,Private,255109,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,45,US,0
19256,30,Private,119164,13,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
32010,31,Private,60229,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
26915,24,Non-Private,43475,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
14430,21,Private,206681,7,Married,Other,Non-Husband,White,Female,0,0,40,US,0
6457,62,Private,218009,9,Married,Other,Husband,White,Male,0,1977,60,US,1
43897,62,Non-Private,234372,14,Married,Other,Husband,White,Male,0,0,40,US,0
1850,21,Private,131811,9,Married,Other,Husband,White,Male,0,0,40,US,0
37966,24,Private,376755,10,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
26357,23,Private,245302,10,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
17022,42,Private,252518,15,Married,Managerial-Specialist,Husband,White,Male,15024,0,40,US,1
12081,35,Private,27408,9,Married,Other,Husband,White,Male,0,0,50,US,0
28262,28,Private,210313,6,Non-Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
25563,49,Private,206947,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
31156,20,Private,381357,5,Non-Married,Other,Non-Husband,White,Male,0,0,28,US,0
17988,54,Non-Private,124865,10,Non-Married,Other,Non-Husband,White,Female,0,0,35,US,0
2019,23,Private,193089,7,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
14441,18,Private,216508,9,Non-Married,Other,Non-Husband,White,Male,0,0,30,US,0
46063,34,Private,287168,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
48335,45,Non-Private,116789,9,Married,Other,Husband,White,Male,0,0,60,US,0
27899,33,Non-Private,300681,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
7696,40,Private,116103,10,Non-Married,Other,Non-Husband,White,Male,4934,0,47,US,1
35621,43,Private,132633,10,Married,Other,Non-Husband,White,Female,0,0,40,US,0
39077,43,Non-Private,53956,9,Married,Managerial-Specialist,Husband,White,Male,0,0,55,US,1
39821,17,Private,172548,5,Non-Married,Other,Non-Husband,White,Male,0,0,8,US,0
27098,29,Private,180758,12,Non-Married,Other,Non-Husband,White,Male,0,0,60,US,0
9788,36,Non-Private,285020,9,Married,Other,Husband,White,Male,2885,0,40,US,0
21064,42,Private,242564,4,Non-Married,Other,Non-Husband,Non-White,Male,0,2205,40,US,0
15103,50,Private,99307,9,Married,Other,Husband,White,Male,5013,0,45,US,0
1340,28,Non-Private,225904,15,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
4112,38,Non-Private,31352,10,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,1
17617,44,Private,346594,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
11748,45,Private,108993,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
9304,20,Non-Private,119156,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,20,US,0
37551,63,Private,149756,6,Married,Other,Husband,White,Male,0,1740,40,US,0
12913,45,Private,77927,13,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,Non-US,0
47732,27,Private,313479,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,US,0
39779,54,Non-Private,260833,10,Married,Other,Husband,White,Male,0,0,45,US,1
14008,43,Private,63503,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
8225,36,Non-Private,343721,16,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,30,US,1
5618,23,Private,292023,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,45,US,0
10109,56,Private,275236,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
5211,47,Private,185385,6,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
3631,60,Non-Private,191024,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
2611,25,Private,60726,9,Married,Other,Husband,Non-White,Male,0,0,30,US,0
47073,52,Non-Private,57855,15,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,1
7284,40,Non-Private,163215,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
1974,33,Private,217235,9,Married,Other,Husband,White,Male,0,0,20,US,0
26539,59,Non-Private,159472,5,Married,Other,Husband,White,Male,0,0,40,US,0
13763,51,Non-Private,136322,9,Married,Other,Husband,White,Male,0,1579,40,US,0
20025,52,Private,232132,8,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
5039,44,Non-Private,44822,10,Married,Other,Husband,White,Male,0,0,40,US,0
6543,75,Non-Private,242108,9,Non-Married,Other,Non-Husband,White,Male,2346,0,15,US,0
37125,41,Private,209899,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
16841,42,Private,74949,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
36788,57,Private,76571,6,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
44502,38,Private,177134,9,Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
37135,44,Private,271282,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,56,US,0
8430,26,Private,162872,12,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
35328,25,Non-Private,195000,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
40998,22,Private,316304,10,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
8253,23,Private,117618,10,Non-Married,Other,Non-Husband,White,Male,0,0,35,US,0
31980,19,Private,28790,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
22925,51,Private,233149,12,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
39273,51,Non-Private,119570,13,Married,Other,Husband,White,Male,0,0,50,US,0
34699,28,Private,257405,3,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,Non-US,0
46721,40,Private,213849,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
22599,47,Non-Private,168109,9,Married,Managerial-Specialist,Husband,White,Male,0,0,70,US,0
5023,34,Private,134886,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
27452,27,Private,189399,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
48629,59,Non-Private,177271,15,Married,Managerial-Specialist,Husband,White,Male,99999,0,84,US,1
34389,22,Private,303579,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,1602,8,US,0
47998,65,Non-Private,135517,4,Married,Other,Husband,White,Male,0,0,40,US,0
45382,50,Private,320510,10,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,1
43793,44,Private,112656,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,0
27053,46,Private,102542,4,Non-Married,Other,Non-Husband,White,Male,0,0,52,US,0
44717,43,Private,27661,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
44755,21,Private,120998,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
24897,35,Non-Private,60269,9,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,0
36627,34,Private,226702,10,Married,Other,Husband,White,Male,0,0,40,US,0
32028,44,Non-Private,203761,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
4786,24,Private,184400,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,30,Non-US,0
27048,45,Non-Private,50567,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
46037,46,Private,315671,4,Married,Other,Non-Husband,White,Female,0,0,30,US,0
43018,59,Non-Private,76860,3,Married,Managerial-Specialist,Husband,Non-White,Male,99999,0,40,Non-US,1
9752,38,Private,255941,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,10520,0,50,US,1
43050,51,Non-Private,227261,10,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
19904,34,Private,265706,14,Non-Married,Other,Non-Husband,White,Male,0,0,60,US,1
30645,56,Private,170070,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,1
21180,38,Private,186145,10,Married,Other,Non-Husband,White,Female,0,0,40,US,1
18228,64,Private,126233,9,Married,Managerial-Specialist,Husband,White,Male,0,0,20,US,0
45600,46,Private,106662,13,Non-Married,Other,Non-Husband,White,Male,99999,0,55,US,1
37744,72,Private,171181,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,2329,0,20,US,0
11455,23,Private,82889,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,16,US,0
14822,35,Private,200153,14,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
1151,40,Private,520586,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,39,US,0
6963,50,Non-Private,173224,14,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
22772,35,Private,90406,7,Married,Other,Non-Husband,White,Female,0,0,40,US,0
33919,39,Non-Private,52401,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,0
37631,40,Private,85604,14,Married,Managerial-Specialist,Husband,White,Male,0,0,55,US,0
12094,39,Private,187089,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
11130,29,Private,253801,9,Married,Other,Husband,White,Male,0,0,40,Non-US,0
12760,24,Private,698418,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,25,US,0
27902,20,Private,226978,9,Non-Married,Other,Non-Husband,White,Male,0,0,35,US,0
21633,35,Non-Private,23892,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
12368,24,Private,108495,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,Non-US,0
43592,68,Private,34887,9,Non-Married,Other,Non-Husband,White,Female,0,0,6,US,0
1158,26,Private,227332,13,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
21237,37,Private,305259,12,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,48,US,0
44355,33,Private,343519,10,Non-Married,Other,Non-Husband,White,Female,0,0,25,US,0
21051,34,Private,113530,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
45037,63,Non-Private,326903,2,Married,Other,Husband,White,Male,0,0,25,US,0
11033,43,Private,135606,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,1
27330,49,Private,122066,3,Married,Other,Husband,White,Male,0,2603,40,Non-US,0
39176,56,Private,94156,9,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
31362,19,Private,160811,9,Non-Married,Other,Non-Husband,White,Male,0,0,38,US,0
14377,22,Private,106700,12,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,27,US,0
21866,35,Private,263081,9,Married,Other,Husband,Non-White,Male,0,0,60,US,1
32192,64,Non-Private,104361,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,65,US,0
28296,61,Private,229744,3,Married,Other,Husband,White,Male,0,0,40,Non-US,0
15159,54,Private,315804,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
29359,20,Private,174461,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,5,US,0
39795,40,Non-Private,115411,12,Married,Managerial-Specialist,Husband,White,Male,0,0,65,US,1
6583,41,Private,132633,7,Non-Married,Other,Non-Husband,White,Female,0,0,25,Non-US,0
33376,42,Private,26915,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
14107,37,Non-Private,48779,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
22824,35,Private,247547,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
11817,40,Private,382499,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,0
35343,37,Non-Private,106347,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,65,US,0
10384,50,Private,304260,12,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,US,0
13973,45,Private,140664,12,Non-Married,Other,Non-Husband,White,Male,0,0,55,US,0
2119,39,Private,179579,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
7515,29,Private,209934,3,Married,Other,Husband,White,Male,0,0,40,Non-US,0
28223,42,Non-Private,109462,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,2977,0,40,US,0
3973,21,Private,193219,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,35,Non-US,0
27758,44,Private,165815,9,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,1
18818,25,Private,52536,12,Non-Married,Other,Non-Husband,White,Female,0,1594,25,US,0
